id;creation_date;publication_date;headline;leadtext;bodytext;quote;conclusion;link_text;link_url;image;image_content_type;appuser_id;blog_id
1;2021-05-10T22:59:39;2021-05-10T17:12:20;mesh EXE Orchestrator;action-items;Hat;help-desk Tools Loan;magenta mission-critical New;revolutionize Markets;Dominica;../fake-data/blob/hipster.png;image/png;1;1
2;2021-05-10T23:29:05;2021-05-10T10:03:47;bypassing Common;backing;payment Identity;PCI Home;Shoes;plum withdrawal Sleek;Checking Digitized;../fake-data/blob/hipster.png;image/png;2;2
3;2021-05-10T20:48:03;2021-05-10T19:29:57;innovative Avon transform;Technician;XSS connecting;clicks-and-mortar Handmade;Manager;redefine PCI;withdrawal matrix synergize;../fake-data/blob/hipster.png;image/png;1;3
4;2021-05-10T12:42:00;2021-05-11T02:28:06;generate Rhode connecting;Gateway deposit;Cotton Administrator;Awesome payment Cross-group;Optional;Executive Fantastic;bypassing Savings Solutions;../fake-data/blob/hipster.png;image/png;2;4
5;2021-05-10T15:58:16;2021-05-11T08:56:23;Kids;copy;Bedfordshire metrics;Utah connecting;frictionless;Ergonomic input;pricing contingency;../fake-data/blob/hipster.png;image/png;1;5
6;2021-05-10T12:09:09;2021-05-10T12:11:05;Montana object-oriented;Producer protocol;withdrawal;Berkshire Frozen;Cambridgeshire;Small Ergonomic Kentucky;ability synthesize;../fake-data/blob/hipster.png;image/png;2;6
7;2021-05-11T09:32:38;2021-05-11T09:08:51;U.S.;payment Massachusetts;SMTP;Director microchip magenta;Gorgeous Borders Peso;Intuitive generate deliverables;Rubber;../fake-data/blob/hipster.png;image/png;2;7
8;2021-05-10T17:09:43;2021-05-11T03:46:45;array array workforce;Applications Associate;markets;Upgradable Research recontextualize;Germany invoice;Saint;Sausages Refined;../fake-data/blob/hipster.png;image/png;2;8
9;2021-05-10T21:49:28;2021-05-10T23:50:24;Pizza Uzbekistan;Dollar Tools;Chief Benin turn-key;Loan Hat Rustic;deposit Chicken;needs-based Human redundant;Steel generate Mayen;../fake-data/blob/hipster.png;image/png;1;9
10;2021-05-11T01:58:08;2021-05-11T02:54:38;payment;ADP standardization capability;compelling;program Account California;synergies;impactful Account;quantify Keyboard;../fake-data/blob/hipster.png;image/png;1;10
